ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00001Q15YJ,50,1,445344.0,439,0
00003I71CQ,35,1,107634.0,283,0
00003N47FS,59,0,502786.6666666667,390,1
00005H41DE,43,1,585664.0,475,0
00007E17UM,39,0,705722.6666666666,497,1
00007I26OR,28,0,389994.6666666667,443,1
00015B11UO,54,1,85056.0,425,0
00020K99TA,28,0,453584.0,173,0
00020W72QC,25,0,324574.6666666666,300,0
00022F48XA,47,1,363206.0,474,1
00026X43XZ,61,1,292983.0,210,0
00031Q27QZ,33,0,438941.3333333333,100,1
00032B38ZX,50,1,478445.0,329,1
00033C02IM,25,1,277729.0,430,1
00034P01OK,45,1,385604.0,492,1
00038B31VO,51,0,159413.33333333334,585,1
00039X03RX,25,1,227439.0,23,0
00040B49KN,43,1,572440.0,356,0
00040O73KD,35,1,240251.0,536,1
00045U73GK,58,0,205192.0,876,1
00049M22HG,35,1,108590.0,400,0
00052E59WH,53,0,436709.3333333333,510,1
00056R56IH,53,0,370768.0,96,0
00057N31MO,30,0,396397.3333333333,285,1
00059Q04KC,49,0,458992.0,265,0
00061K54RB,43,1,485917.0,273,1
00062R49DY,37,1,361216.0,243,0
00067S81IY,26,0,341240.0,377,0
00069Q75MB,35,0,277725.3333333333,106,0
00069R58QN,51,1,607229.0,485,0
00070L09VD,40,1,328247.0,336,0
00073G60ML,64,0,358005.3333333333,426,1
00074E80ZM,59,1,450981.0,258,1
00078B50YA,34,0,216370.66666666666,231,0
00083A72KE,50,0,730685.3333333334,406,1
00085N14CA,34,1,146852.0,357,0
00086Y65GU,65,0,420082.6666666667,666,0
00088T31UB,51,0,131949.33333333334,783,1
00090Q78CZ,62,0,136266.66666666666,390,0
00091B82ZO,65,0,409160.0,228,1
00093J67SK,52,1,256962.0,139,0
00095Q17AL,25,0,365514.6666666667,236,0
00099K86CW,62,1,682251.0,344,0
00101P10AC,47,1,184303.0,385,1
00104R23KJ,41,0,366200.0,370,1
00105P34KP,39,1,793682.6666666666,943,1
00105Z55XB,28,0,134834.66666666666,313,0
00107Y54OB,27,1,192229.0,805,1
00108X61TB,29,1,218007.0,431,1
00111A34ML,42,1,442952.0,213,0
00113N53ZL,59,1,669568.0,276,1
00115C31GT,25,0,387785.3333333334,477,1
00118J08EC,47,0,275520.0,304,0
00122X31AB,58,0,401832.0,225,0
00124L11WJ,50,1,576933.3333333334,132,1
00126P38RZ,59,1,396243.0,95,1
00127P24GO,37,1,234791.0,277,1
00129H75QI,58,0,311133.3333333333,430,1
00130C94GP,33,1,296322.0,220,0
00137X41CD,49,1,363144.0,388,1
00139F51QE,46,1,315221.0,263,1
00140V89YT,36,1,779277.3333333334,489,1
00141I56XV,40,0,292216.0,205,0
00142J61TJ,37,0,453501.3333333333,95,0
00149E58QC,40,1,197281.0,436,1
00149V45IO,27,1,248446.0,640,1
00152W66MO,36,0,419744.0,93,0
00163W34YW,52,0,380120.0,407,1
00166U36NR,26,0,146413.33333333334,202,0
00172I72UL,61,1,529399.0,850,1
00173Q33YX,60,0,150610.66666666666,315,1
00174P76OQ,59,1,737673.0,525,1
00177D07HX,61,0,366653.3333333333,748,0
00184X69JT,42,1,397493.0,241,1
00186P04PT,33,1,292406.0,323,0
00187N85DF,63,0,331237.3333333333,433,1
00188E43DF,60,1,240020.0,258,1
00189M02HG,64,1,121018.0,311,0
00191S39KZ,46,1,373478.0,367,1
00195G41IU,32,0,384015.6666666666,272,1
00195P25IN,30,0,213546.66666666666,230,0
00195Q10ZP,35,1,257308.0,40,0
00197O44XP,34,1,282501.0,823,1
00198D05HX,51,0,252154.66666666666,240,0
00198H12HX,57,1,480760.0,899,1
00198H71BB,26,1,132599.0,436,0
00201E56ZV,64,0,153181.33333333334,275,0
00202X22MN,53,0,431624.0,296,0
00205O79UQ,38,1,498894.0,296,1
00209O01CF,65,0,97626.66666666667,468,1
00213H22RL,37,1,324297.0,301,1
00214G18BG,49,0,547754.6666666666,296,1
00214H08FS,31,0,405807.3333333334,353,0
00218H09KC,65,0,159648.0,830,1
00218V46WS,62,0,105133.33333333333,311,0
00221E71ZX,49,1,298254.0,266,1
00222P84OU,36,0,282392.0,462,1
00223L77HZ,63,1,414729.0,595,1
00226J79YI,59,1,412753.0,198,0
00227R80JC,47,1,398253.0,327,1
00228R68ZE,43,0,525024.0,479,1
00228Z35MR,43,1,405642.0,201,0
00230U63RP,54,0,92864.0,78,1
00232B56RM,55,0,308714.6666666667,317,0
00237O77NS,31,0,357850.3333333334,480,1
00250P24JI,45,1,352042.0,94,1
00251B45QQ,62,0,407426.6666666667,373,0
00251D05TO,30,1,298431.0,496,1
00255A68BB,29,1,159186.0,302,1
00257F20SW,34,0,448273.0,87,0
